arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,encoding_skip,bound_n2_relu_using_zonotope,bound_n2_non_relu_using_zonotope,how_much_faster,solve_status_standard,solve_status_transfer
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"3,3,5",0,5,134.16,1800.07,8.632793,8.633531,-0.111902,-0.050119,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,13.42x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,1800.04,8.632793,8.633531,0.000000,0.169145,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,13.42x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,1800.05,8.632793,8.633531,0.000000,0.472612,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,yes,13.42x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,1800.03,8.632793,8.633531,0.000000,0.348658,32,rga0.0,0,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,13.42x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,1800.06,8.632793,8.633531,0.000000,0.572309,,rga0.0,,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,13.42x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,1800.06,8.632793,8.633531,0.000000,0.697024,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,13.42x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,1800.05,8.632793,8.633531,0.000000,0.114497,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,13.42x,OPTIMAL,TIME_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"5,5,5",0,3,42.18,455.55,12.546487,12.669380,-0.066556,-0.066037,32,rga0.0,0,yes,no+zono,no,no,10.80x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,751.97,12.546487,12.669380,-0.066556,-0.066238,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,17.83x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,815.79,12.546487,12.669380,-0.067207,-0.066556,,rga0.0,,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,19.34x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,923.60,12.546487,12.669380,4.328129,4.371007,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+capDD,yes,no,21.90x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,955.85,12.546487,12.669380,-0.066556,-0.066238,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,22.66x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,1035.91,12.546487,12.669380,4.328129,4.371007,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+n2xpViaN1Zono+capDD,no,no,24.56x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,1060.20,12.546487,12.669380,-0.066607,-0.066298,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,25.13x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,1067.10,12.546487,12.669380,4.328129,4.371007,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+capDD,yes,no,25.30x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,1156.10,12.546487,12.669380,4.328129,4.371007,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+capDD,yes,no,27.41x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,1162.73,12.546487,12.669380,-0.066607,-0.066298,32,rga0.0,0,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,27.56x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,1243.18,12.546487,12.669380,4.328129,4.371007,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+capDD,yes,no,29.47x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,1391.57,12.546487,12.669380,4.328129,4.371007,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpOut+boundN2xpComp+capDD,no,no,32.99x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,1408.60,12.546487,12.669380,4.328129,4.371007,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+capDD,yes,no,33.39x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,1498.32,12.546487,12.669380,4.328129,4.371007,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpOut+boundN2xpComp+capDD,no,no,35.52x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,1501.64,12.546487,12.669380,4.328129,4.371007,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+capDD,yes,no,35.60x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,1505.12,12.546487,12.669380,4.328129,4.371007,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpOut+boundN2xpComp+capDD,no,no,35.68x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,1800.05,12.546487,12.669380,4.350836,11.351628,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpOut+branchPriN2x+capDD,no,no,42.67x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,3,42.18,1800.12,12.546487,12.669380,4.350836,11.351628,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+branchPriN2x+capDD,no,no,42.67x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,3,42.18,1800.09,12.546487,12.669380,2.010591,5.262322,32,rga0.0,0,yes,no_n2_xp_encoding+zono,no,no,42.67x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,3,42.18,1800.06,12.546487,12.669380,-0.066555,1.492456,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,42.67x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,3,42.18,1800.08,12.546487,12.669380,-0.094756,-0.066303,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,yes,42.67x,OPTIMAL,TIME_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"5,5,5",0,4,536.01,1800.14,8.644089,8.716495,-0.406015,1.345759,32,rga0.0,0,yes,no+zono,no,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.06,8.644089,8.716495,4.189690,4.373700,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+capDD,yes,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.05,8.644089,8.716495,4.189690,4.361133,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+capDD,yes,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.09,8.644089,8.716495,4.191725,4.348595,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+capDD,yes,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.06,8.644089,8.716495,4.189690,4.371724,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+capDD,yes,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.21,8.644089,8.716495,4.189690,4.368246,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+n2xpViaN1Zono+capDD,no,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.08,8.644089,8.716495,4.191725,4.345756,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+capDD,yes,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.04,8.644089,8.716495,4.189690,4.369821,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+capDD,yes,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.07,8.644089,8.716495,2.040401,44.616656,32,rga0.0,0,yes,no_n2_xp_encoding+zono,no,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.08,8.644089,8.716495,0.000000,6.075509,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.08,8.644089,8.716495,0.000000,9.584379,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.03,8.644089,8.716495,0.000000,5.425623,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,yes,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.05,8.644089,8.716495,0.000000,3.660269,32,rga0.0,0,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.04,8.644089,8.716495,0.000000,3.193564,,rga0.0,,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.02,8.644089,8.716495,0.000000,3.757672,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,3.36x,OPTIMAL,TIME_LIMIT
cnn1,occ,"5,5,5",0,4,536.01,1800.08,8.644089,8.716495,0.000000,2.304694,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,3.36x,OPTIMAL,TIME_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"5,5,5",0,5,110.91,760.13,7.422875,7.422883,4.341048,4.384312,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+capDD,yes,no,6.85x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,5,110.91,785.39,7.422875,7.422883,4.341048,4.384312,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+capDD,yes,no,7.08x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,5,110.91,786.01,7.422875,7.422883,4.341048,4.384312,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+capDD,yes,no,7.09x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,5,110.91,803.22,7.422875,7.422883,-0.054686,-0.054466,32,rga0.0,0,yes,no+zono,no,no,7.24x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,5,110.91,813.06,7.422875,7.422883,4.341048,4.384312,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+capDD,yes,no,7.33x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,5,110.91,820.06,7.422875,7.422883,4.341048,4.384312,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+capDD,yes,no,7.39x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,5,110.91,1051.19,7.422875,7.422883,4.341048,4.384312,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+capDD,yes,no,9.48x,OPTIMAL,OPTIMAL
