arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,encoding_skip,bound_n2_relu_using_zonotope,bound_n2_non_relu_using_zonotope,how_much_faster,solve_status_standard,solve_status_transfer
cnn1,occ,"3,3,5",0,4,367.16,272.94,10.867350,10.967109,0.262263,0.264643,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.1+zono,yes,no,1.35x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,4,367.16,269.78,10.867350,10.967109,0.262263,0.264643,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.05+zono,yes,no,1.36x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,4,367.16,263.87,10.867350,10.967109,0.262263,0.264643,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.0+zono,yes,no,1.39x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,4,367.16,243.50,10.867350,10.967109,0.264041,0.265441,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,no,1.51x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,4,367.16,241.23,10.867350,10.967109,0.264453,0.264663,32,rga0.0,0,yes,no_n1_encoding+last_layer+pruneTol0.5+zono,no,yes,1.52x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,4,367.16,240.73,10.867350,10.967109,0.264453,0.264663,32,rga0.0,0,yes,no_n1_encoding+last_layer+pruneTol0.5+zono,no,no,1.53x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,4,367.16,238.85,10.867350,10.967109,0.264041,0.265441,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,yes,1.54x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,4,367.16,238.68,10.867350,10.967109,0.264041,0.265441,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,yes,no,1.54x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,4,367.16,231.21,10.867350,10.967109,0.264041,0.265441,,rga0.0,,yes,no_n1_encoding+last_layer_no_bin+zono,yes,yes,1.59x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,4,367.16,3.18,10.867350,10.967109,10.659586,10.659586,32,rga0.0,0,yes,no_n1_encoding,no,no,115.60x,OPTIMAL,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"3,3,5",0,5,134.16,129.54,8.632793,8.633531,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,no,1.04x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,127.78,8.632793,8.633531,0.000000,-0.000000,,rga0.0,,yes,no_n1_encoding+last_layer_no_bin+zono,yes,yes,1.05x,OPTIMAL,OBJECTIVE_LIMIT
