arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,no_n1_bin_relax_on_n2,no_n1_encoding,how_much_faster,solve_status_standard,solve_status_transfer
cnn1,patch,"1,14,14,3",1,4,113.19,832.71,9.540657,9.540657,0.041210,0.041277,32,rga0.05,650,no,no,no,7.36x,,
cnn1,patch,"1,14,14,3",1,4,113.19,992.65,9.540657,9.540657,0.049238,0.049239,32,rga0.1,718,no,no,no,8.77x,,
cnn1,patch,"1,14,14,3",1,4,113.19,995.45,9.540657,9.540657,0.049239,0.049239,32,rga0.15,736,no,no,no,8.79x,,
cnn1,patch,"1,14,14,3",1,4,113.19,1138.84,9.540657,9.540657,0.000000,14.911487,48,1.2,738,no,no,no,10.06x,,
cnn1,patch,"1,14,14,3",1,4,113.19,1812.14,9.540657,9.540657,0.000000,14.911487,32,1.2,738,no,no,no,16.01x,,
cnn1,patch,"1,14,14,3",1,4,113.19,1811.83,9.540657,9.540657,4.151743,43.197247,32,inf,776,no,no,no,16.01x,,
cnn1,patch,"1,14,14,3",1,4,113.19,1814.81,9.540657,9.540657,0.791895,1.296071,32,rga0.75,748,no,no,no,16.03x,,
,,,,,,,,,,,,,,,,,,,
cnn1,patch,"1,14,14,3",1,5,138.25,559.88,9.376198,9.448297,-0.020500,-0.020500,32,rga0.05,650,no,no,no,4.05x,,
cnn1,patch,"1,14,14,3",1,5,138.25,562.53,9.376198,9.448297,0.010943,0.010943,48,0.5,736,no,no,no,4.07x,,
cnn1,patch,"1,14,14,3",1,5,138.25,703.85,9.376198,9.448297,-0.020500,-0.020500,32,rga0.025,633,no,no,no,5.09x,,
cnn1,patch,"1,14,14,3",1,5,138.25,706.50,9.376198,9.448297,-0.020500,-0.020500,32,rga0.01,633,no,no,no,5.11x,,
cnn1,patch,"1,14,14,3",1,5,138.25,750.46,9.376198,9.448297,0.013471,0.013473,32,1.2,738,no,no,no,5.43x,,
cnn1,patch,"1,14,14,3",1,5,138.25,1029.90,9.376198,9.448297,0.010943,0.010943,32,0.5,736,no,no,no,7.45x,,
cnn1,patch,"1,14,14,3",1,5,138.25,1280.87,9.376198,9.448297,0.010940,0.010941,32,rga0.1,718,no,no,no,9.26x,,
cnn1,patch,"1,14,14,3",1,5,138.25,1293.59,9.376198,9.448297,0.010943,0.010943,32,rga0.15,736,no,no,no,9.36x,,
cnn1,patch,"1,14,14,3",1,5,138.25,1810.87,9.376198,9.448297,3.339031,45.337214,32,inf,776,no,no,no,13.10x,,
cnn1,patch,"1,14,14,3",1,5,138.25,1812.62,9.376198,9.448297,1.190386,1.265986,32,rga0.75,748,no,no,no,13.11x,,
,,,,,,,,,,,,,,,,,,,
cnn1,translation,"1,1",1,3,298.04,1812.13,74.359007,74.998281,0.000000,4.534546,32,rga0.05,334,no,no,no,6.08x,,
,,,,,,,,,,,,,,,,,,,
cnn1,translation,"1,3",1,4,384.34,1813.16,74.205045,74.945871,0.000000,1.443978,32,0.5,379,no,no,no,4.72x,,
,,,,,,,,,,,,,,,,,,,
cnn1,translation,"3,1",1,3,285.99,1812.32,74.697148,74.959298,0.000000,0.006013,32,rga0.025,325,no,no,no,6.34x,,
cnn1,translation,"3,1",1,3,285.99,1812.01,74.697148,74.959298,0.000000,0.880701,32,0.5,379,no,no,no,6.34x,,
,,,,,,,,,,,,,,,,,,,
cnn1,translation,"3,1",1,4,111.60,1812.48,74.425164,75.164951,0.000000,3.188329,32,0.5,379,no,no,no,16.24x,,
